texto,unidad,caso,condicion,casa,repeticion,cartera,tratamiento,primera_medida,piso_social,mas_credito_externo,privatizaciones,impuestos_progresivos,obra_publica,orientacion,ejemplos_de_paises,etica_del_cargo,pais_identificado,momento_identificado,juicio_sobre_la_direccion_real,coincide_con_lo_real,autocritica,delata_la_ficha,codificador
corridas/ministro/minima_desarrollo_social_es/claude-fable-5-1_1,ministro,ministro,minima_desarrollo_social_es,claude-fable-5-1,1,desarrollo_social,sin_interlocucion,proteccion_social,si,si,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/claude-opus-5_1,ministro,ministro,minima_desarrollo_social_es,claude-opus-5,1,desarrollo_social,usted,proteccion_social,si,si,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/claude-sonnet-4-6_1,ministro,ministro,minima_desarrollo_social_es,claude-sonnet-4-6,1,desarrollo_social,sin_interlocucion,proteccion_social,si,no,no,no,la_mantiene_o_prioriza,mas_estado,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/claude-sonnet-5_1,ministro,ministro,minima_desarrollo_social_es,claude-sonnet-5,1,desarrollo_social,sin_interlocucion,proteccion_social,si,no,no,no,la_mantiene_o_prioriza,mixta,como_advertencia,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/deepseek-v4-pro_1,ministro,ministro,minima_desarrollo_social_es,deepseek-v4-pro,1,desarrollo_social,sin_interlocucion,proteccion_social,si,si,no,no,la_mantiene_o_prioriza,mas_estado,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/gemini-3.1-pro-preview_1,ministro,ministro,minima_desarrollo_social_es,gemini-3.1-pro-preview,1,desarrollo_social,usted,proteccion_social,si,no,no,no,no_la_menciona,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_desarrollo_social_es,glm-5.3-razonamiento-minimo,1,desarrollo_social,sin_interlocucion,proteccion_social,si,no,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/gpt-5.5-2026-04-23_1,ministro,ministro,minima_desarrollo_social_es,gpt-5.5-2026-04-23,1,desarrollo_social,sin_interlocucion,proteccion_social,si,si,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/gpt-5.6-sol_1,ministro,ministro,minima_desarrollo_social_es,gpt-5.6-sol,1,desarrollo_social,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/gpt-6-astra_1,ministro,ministro,minima_desarrollo_social_es,gpt-6-astra,1,desarrollo_social,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/grok-4.6_1,ministro,ministro,minima_desarrollo_social_es,grok-4.6,1,desarrollo_social,sin_interlocucion,diagnostico_o_informacion,si,si,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/kimi-k3_1,ministro,ministro,minima_desarrollo_social_es,kimi-k3,1,desarrollo_social,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/minimax-m3_1,ministro,ministro,minima_desarrollo_social_es,minimax-m3,1,desarrollo_social,usted,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mas_estado,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/mistral-medium-3.5_1,ministro,ministro,minima_desarrollo_social_es,mistral-medium-3.5,1,desarrollo_social,sin_interlocucion,proteccion_social,si,no,no,si,la_mantiene_o_prioriza,mas_estado,como_advertencia,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_desarrollo_social_es/qwen3.8-max_1,ministro,ministro,minima_desarrollo_social_es,qwen3.8-max,1,desarrollo_social,sin_interlocucion,ajuste_fiscal,si,lo_descarta,no,no,no_la_menciona,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/claude-fable-5-1_1,ministro,ministro,minima_economia_es,claude-fable-5-1,1,no_elige,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,ambos,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/claude-opus-5_1,ministro,ministro,minima_economia_es,claude-opus-5,1,economia,sin_interlocucion,diagnostico_o_informacion,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/claude-sonnet-4-6_1,ministro,ministro,minima_economia_es,claude-sonnet-4-6,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/claude-sonnet-5_1,ministro,ministro,minima_economia_es,claude-sonnet-5,1,economia,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/deepseek-v4-pro_1,ministro,ministro,minima_economia_es,deepseek-v4-pro,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/gemini-3.1-pro-preview_1,ministro,ministro,minima_economia_es,gemini-3.1-pro-preview,1,no_elige,usted,proteccion_social,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_economia_es,glm-5.3-razonamiento-minimo,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/gpt-5.5-2026-04-23_1,ministro,ministro,minima_economia_es,gpt-5.5-2026-04-23,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/gpt-5.6-sol_1,ministro,ministro,minima_economia_es,gpt-5.6-sol,1,no_elige,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/gpt-6-astra_1,ministro,ministro,minima_economia_es,gpt-6-astra,1,no_elige,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/grok-4.6_1,ministro,ministro,minima_economia_es,grok-4.6,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/kimi-k3_1,ministro,ministro,minima_economia_es,kimi-k3,1,no_elige,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/minimax-m3_1,ministro,ministro,minima_economia_es,minimax-m3,1,economia,usted,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/mistral-medium-3.5_1,ministro,ministro,minima_economia_es,mistral-medium-3.5,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_economia_es/qwen3.8-max_1,ministro,ministro,minima_economia_es,qwen3.8-max,1,economia,sin_interlocucion,diagnostico_o_informacion,si,si,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/claude-fable-5-1_1,ministro,ministro,minima_libre_en,claude-fable-5-1,1,economia,you,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/claude-opus-5_1,ministro,ministro,minima_libre_en,claude-opus-5,1,economia,sin_interlocucion,diagnostico_o_informacion,si,si,no,si,la_mantiene_o_prioriza,mixta,ambos,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/claude-sonnet-4-6_1,ministro,ministro,minima_libre_en,claude-sonnet-4-6,1,economia,you,diagnostico_o_informacion,si,si,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/claude-sonnet-5_1,ministro,ministro,minima_libre_en,claude-sonnet-5,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/deepseek-v4-pro_1,ministro,ministro,minima_libre_en,deepseek-v4-pro,1,economia,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/gemini-3.1-pro-preview_1,ministro,ministro,minima_libre_en,gemini-3.1-pro-preview,1,economia,sin_interlocucion,ajuste_fiscal,si,lo_descarta,si,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_libre_en,glm-5.3-razonamiento-minimo,1,economia,you,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/gpt-5.5-2026-04-23_1,ministro,ministro,minima_libre_en,gpt-5.5-2026-04-23,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/gpt-5.6-sol_1,ministro,ministro,minima_libre_en,gpt-5.6-sol,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/gpt-6-astra_1,ministro,ministro,minima_libre_en,gpt-6-astra,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/grok-4.6_1,ministro,ministro,minima_libre_en,grok-4.6,1,economia,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mixta,ambos,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/kimi-k3_1,ministro,ministro,minima_libre_en,kimi-k3,1,economia,sin_interlocucion,diagnostico_o_informacion,si,si,no,si,la_mantiene_o_prioriza,mixta,ambos,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/minimax-m3_1,ministro,ministro,minima_libre_en,minimax-m3,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/mistral-medium-3.5_1,ministro,ministro,minima_libre_en,mistral-medium-3.5,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,si,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_en/qwen3.8-max_1,ministro,ministro,minima_libre_en,qwen3.8-max,1,economia,sin_interlocucion,acuerdo_politico,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/claude-fable-5-1_1,ministro,ministro,minima_libre_es,claude-fable-5-1,1,economia,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/claude-opus-5_1,ministro,ministro,minima_libre_es,claude-opus-5,1,economia,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/claude-sonnet-4-6_1,ministro,ministro,minima_libre_es,claude-sonnet-4-6,1,economia,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/claude-sonnet-5_1,ministro,ministro,minima_libre_es,claude-sonnet-5,1,economia,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/deepseek-v4-pro_1,ministro,ministro,minima_libre_es,deepseek-v4-pro,1,economia,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/gemini-3.1-pro-preview_1,ministro,ministro,minima_libre_es,gemini-3.1-pro-preview,1,economia,usted,acuerdo_con_fmi_o_acreedores,si,no,no,no,no_la_menciona,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_libre_es,glm-5.3-razonamiento-minimo,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/gpt-5.5-2026-04-23_1,ministro,ministro,minima_libre_es,gpt-5.5-2026-04-23,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/gpt-5.6-sol_1,ministro,ministro,minima_libre_es,gpt-5.6-sol,1,economia,sin_interlocucion,proteccion_social,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/gpt-6-astra_1,ministro,ministro,minima_libre_es,gpt-6-astra,1,economia,sin_interlocucion,proteccion_social,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/grok-4.6_1,ministro,ministro,minima_libre_es,grok-4.6,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/kimi-k3_1,ministro,ministro,minima_libre_es,kimi-k3,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/minimax-m3_1,ministro,ministro,minima_libre_es,minimax-m3,1,economia,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/mistral-medium-3.5_1,ministro,ministro,minima_libre_es,mistral-medium-3.5,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_mantiene_o_prioriza,mas_estado,como_advertencia,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_es/qwen3.8-max_1,ministro,ministro,minima_libre_es,qwen3.8-max,1,economia,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/claude-fable-5-1_1,ministro,ministro,minima_libre_fr,claude-fable-5-1,1,economia,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/claude-opus-5_1,ministro,ministro,minima_libre_fr,claude-opus-5,1,economia,sin_interlocucion,diagnostico_o_informacion,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/claude-sonnet-4-6_1,ministro,ministro,minima_libre_fr,claude-sonnet-4-6,1,economia,sin_interlocucion,diagnostico_o_informacion,si,no,no,si,la_mantiene_o_prioriza,mas_estado,como_advertencia,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/claude-sonnet-5_1,ministro,ministro,minima_libre_fr,claude-sonnet-5,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/deepseek-v4-pro_1,ministro,ministro,minima_libre_fr,deepseek-v4-pro,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_mantiene_o_prioriza,mas_estado,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/gemini-3.1-pro-preview_1,ministro,ministro,minima_libre_fr,gemini-3.1-pro-preview,1,economia,vous,acuerdo_con_fmi_o_acreedores,si,no,no,si,la_frena,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
corridas/ministro/minima_libre_fr/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_libre_fr,glm-5.3-razonamiento-minimo,1,economia,sin_interlocucion,ajuste_fiscal,si,no,no,no,la_mantiene_o_prioriza,mixta,ninguno,no,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,gpt-5.5-2026-04-23
